Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,37.46
898.0,34.64
896.0,33.50
894.0,34.41
892.0,34.50
890.0,35.65
888.0,35.48
886.0,36.06
884.0,36.85
882.0,38.88
880.0,39.95
878.0,42.65
876.0,45.11
874.0,48.22
872.0,52.34
870.0,55.62
868.0,60.49
866.0,66.15
864.0,71.69
862.0,76.77
860.0,81.88
858.0,85.33
856.0,87.11
854.0,87.24
852.0,85.04
850.0,80.80
848.0,75.09
846.0,69.18
844.0,62.56
842.0,56.66
840.0,51.11
838.0,46.22
836.0,42.27
834.0,38.79
832.0,35.99
830.0,33.85
828.0,32.29
826.0,31.11
824.0,30.42
822.0,30.24
820.0,30.48
818.0,31.32
816.0,32.63
814.0,34.57
812.0,37.18
810.0,40.58
808.0,44.63
806.0,48.89
804.0,52.36
802.0,53.35
800.0,50.42
798.0,43.76
796.0,35.13
794.0,26.88
792.0,19.99
790.0,14.73
788.0,10.98
786.0,8.26
784.0,6.31
782.0,4.92
780.0,3.87
778.0,3.08
776.0,2.51
774.0,2.04
772.0,1.69
770.0,1.43
768.0,1.21
766.0,1.04
764.0,0.90
762.0,0.82
760.0,0.73
758.0,0.58
756.0,0.52
754.0,0.49
752.0,0.44
750.0,0.45
748.0,0.43
746.0,0.44
744.0,0.39
742.0,0.37
740.0,0.34
738.0,0.36
736.0,0.39
734.0,0.39
732.0,0.40
730.0,0.42
728.0,0.45
726.0,0.49
724.0,0.55
722.0,0.65
720.0,0.73
718.0,0.87
716.0,1.05
714.0,1.28
712.0,1.57
710.0,1.92
708.0,2.17
706.0,2.18
704.0,1.96
702.0,1.59
700.0,1.21
698.0,0.90
696.0,0.68
694.0,0.52
692.0,0.41
690.0,0.33
688.0,0.25
686.0,0.21
684.0,0.18
682.0,0.16
680.0,0.13
678.0,0.11
676.0,0.09
674.0,0.08
672.0,0.08
670.0,0.08
668.0,0.07
666.0,0.07
664.0,0.07
662.0,0.09
660.0,0.11
658.0,0.10
656.0,0.12
654.0,0.14
652.0,0.19
650.0,0.26
648.0,0.36
646.0,0.54
644.0,0.82
642.0,1.22
640.0,1.45
638.0,1.21
636.0,0.77
634.0,0.44
632.0,0.27
630.0,0.18
628.0,0.12
626.0,0.08
624.0,0.07
622.0,0.07
620.0,0.05
618.0,0.04
616.0,0.03
614.0,0.04
612.0,0.04
610.0,0.03
608.0,0.03
606.0,0.02
604.0,0.03
602.0,0.04
600.0,0.04
598.0,0.03
596.0,0.04
594.0,0.04
592.0,0.04
590.0,0.06
588.0,0.07
586.0,0.08
584.0,0.10
582.0,0.14
580.0,0.22
578.0,0.32
576.0,0.51
574.0,0.72
572.0,0.78
570.0,0.63
568.0,0.44
566.0,0.32
564.0,0.26
562.0,0.19
560.0,0.08
558.0,0.04
556.0,0.03
554.0,0.02
552.0,0.02
550.0,0.02
548.0,0.04
546.0,0.07
544.0,0.11
542.0,0.17
540.0,0.23
538.0,0.26
536.0,0.18
534.0,0.06
532.0,0.00
530.0,0.00
528.0,0.00
526.0,0.00
524.0,0.00
522.0,0.00
520.0,0.00
518.0,0.00
516.0,0.00
514.0,0.00
512.0,0.00
510.0,0.07
508.0,0.32
506.0,0.64
504.0,0.99
502.0,1.34
500.0,1.62
498.0,1.72
496.0,1.61
494.0,1.35
492.0,1.05
490.0,0.78
488.0,0.55
486.0,0.36
484.0,0.17
482.0,0.00
480.0,0.00
478.0,0.00
476.0,0.00
474.0,0.00
472.0,0.00
470.0,0.00
468.0,0.04
466.0,0.33
464.0,0.77
462.0,1.31
460.0,2.01
458.0,2.94
456.0,4.44
454.0,7.21
452.0,12.44
450.0,22.30
448.0,39.27
446.0,61.82
444.0,81.72
442.0,91.57
440.0,93.78
438.0,93.74
436.0,93.57
434.0,93.68
432.0,93.62
430.0,93.63
428.0,93.90
426.0,94.23
424.0,94.32
422.0,93.52
420.0,92.76
418.0,92.06
416.0,91.78
414.0,92.17
412.0,92.50
410.0,92.64
408.0,92.17
406.0,91.15
404.0,90.54
402.0,90.94
400.0,90.88
398.0,89.95
396.0,88.20
394.0,85.98
392.0,84.65
390.0,84.20
388.0,83.45
386.0,81.39
384.0,78.80
382.0,76.19
380.0,72.77
378.0,67.10
376.0,60.25
374.0,56.64
372.0,53.30
370.0,46.97
368.0,38.41
366.0,31.50
364.0,27.72
362.0,23.50
360.0,18.06
358.0,12.79
356.0,8.67
354.0,5.28
352.0,3.03
350.0,1.57
348.0,0.82
346.0,0.53
344.0,0.48
342.0,0.37
340.0,0.36
338.0,0.40
336.0,0.46
334.0,0.46
332.0,0.55
330.0,0.60
328.0,0.62
326.0,0.72
324.0,0.73
322.0,0.85
320.0,0.89
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
