Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (coated side) elevated with block from cuvette
nm,%T
900.0,86.16
898.0,85.39
896.0,85.17
894.0,84.93
892.0,84.79
890.0,84.24
888.0,84.81
886.0,84.60
884.0,84.57
882.0,85.08
880.0,85.12
878.0,85.81
876.0,86.11
874.0,86.55
872.0,87.30
870.0,87.66
868.0,88.29
866.0,88.72
864.0,89.13
862.0,89.60
860.0,89.87
858.0,89.85
856.0,89.62
854.0,89.34
852.0,88.55
850.0,87.47
848.0,86.00
846.0,84.38
844.0,82.28
842.0,79.94
840.0,77.34
838.0,74.59
836.0,71.74
834.0,68.81
832.0,65.86
830.0,63.00
828.0,60.28
826.0,57.73
824.0,55.38
822.0,53.21
820.0,51.31
818.0,49.71
816.0,48.38
814.0,47.32
812.0,46.61
810.0,46.27
808.0,46.17
806.0,46.36
804.0,46.79
802.0,47.37
800.0,48.01
798.0,48.60
796.0,49.16
794.0,49.80
792.0,50.67
790.0,51.89
788.0,53.55
786.0,55.71
784.0,58.32
782.0,61.32
780.0,64.59
778.0,67.98
776.0,71.23
774.0,74.10
772.0,76.33
770.0,77.65
768.0,77.95
766.0,77.12
764.0,75.25
762.0,72.46
760.0,69.10
758.0,65.48
756.0,61.95
754.0,58.69
752.0,55.59
750.0,52.48
748.0,49.23
746.0,45.95
744.0,43.08
742.0,41.03
740.0,39.96
738.0,39.76
736.0,40.35
734.0,41.70
732.0,43.81
730.0,46.57
728.0,49.69
726.0,52.66
724.0,54.76
722.0,55.33
720.0,53.93
718.0,50.49
716.0,45.23
714.0,38.69
712.0,31.64
710.0,24.94
708.0,19.20
706.0,14.65
704.0,11.20
702.0,8.64
700.0,6.76
698.0,5.38
696.0,4.35
694.0,3.58
692.0,2.98
690.0,2.53
688.0,2.18
686.0,1.90
684.0,1.68
682.0,1.50
680.0,1.37
678.0,1.26
676.0,1.17
674.0,1.11
672.0,1.06
670.0,1.04
668.0,1.04
666.0,1.06
664.0,1.10
662.0,1.14
660.0,1.19
658.0,1.23
656.0,1.28
654.0,1.36
652.0,1.50
650.0,1.70
648.0,1.97
646.0,2.31
644.0,2.69
642.0,3.06
640.0,3.33
638.0,3.45
636.0,3.37
634.0,3.10
632.0,2.68
630.0,2.20
628.0,1.76
626.0,1.38
624.0,1.10
622.0,0.88
620.0,0.73
618.0,0.61
616.0,0.53
614.0,0.47
612.0,0.43
610.0,0.40
608.0,0.38
606.0,0.38
604.0,0.39
602.0,0.39
600.0,0.38
598.0,0.39
596.0,0.41
594.0,0.46
592.0,0.53
590.0,0.63
588.0,0.79
586.0,1.04
584.0,1.43
582.0,1.97
580.0,2.57
578.0,3.03
576.0,3.23
574.0,3.11
572.0,2.67
570.0,2.07
568.0,1.51
566.0,1.11
564.0,0.85
562.0,0.68
560.0,0.57
558.0,0.51
556.0,0.47
554.0,0.46
552.0,0.46
550.0,0.49
548.0,0.54
546.0,0.62
544.0,0.76
542.0,0.99
540.0,1.33
538.0,1.83
536.0,2.38
534.0,2.74
532.0,2.68
530.0,2.26
528.0,1.71
526.0,1.25
524.0,0.93
522.0,0.74
520.0,0.62
518.0,0.55
516.0,0.51
514.0,0.50
512.0,0.53
510.0,0.58
508.0,0.67
506.0,0.80
504.0,0.97
502.0,1.14
500.0,1.25
498.0,1.23
496.0,1.08
494.0,0.87
492.0,0.67
490.0,0.52
488.0,0.41
486.0,0.33
484.0,0.28
482.0,0.25
480.0,0.24
478.0,0.25
476.0,0.28
474.0,0.32
472.0,0.40
470.0,0.53
468.0,0.72
466.0,0.99
464.0,1.30
462.0,1.50
460.0,1.48
458.0,1.29
456.0,1.03
454.0,0.82
452.0,0.66
450.0,0.57
448.0,0.52
446.0,0.51
444.0,0.52
442.0,0.57
440.0,0.67
438.0,0.84
436.0,1.13
434.0,1.62
432.0,2.50
430.0,4.17
428.0,7.57
426.0,14.78
424.0,28.77
422.0,48.42
420.0,64.91
418.0,71.85
416.0,72.77
414.0,73.55
412.0,76.28
410.0,79.87
408.0,82.94
406.0,85.12
404.0,86.50
402.0,87.18
400.0,87.04
398.0,86.01
396.0,84.09
394.0,81.86
392.0,80.13
390.0,79.37
388.0,79.14
386.0,78.71
384.0,77.41
382.0,75.15
380.0,72.22
378.0,68.43
376.0,64.12
374.0,58.96
372.0,53.17
370.0,47.19
368.0,40.48
366.0,31.86
364.0,22.41
362.0,14.92
360.0,10.31
358.0,7.51
356.0,5.25
354.0,3.30
352.0,1.99
350.0,1.27
348.0,0.84
346.0,0.52
344.0,0.28
342.0,0.13
340.0,0.06
338.0,0.03
336.0,0.02
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
