Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,95.57
898.0,95.91
896.0,95.88
894.0,95.79
892.0,95.30
890.0,95.44
888.0,94.99
886.0,94.90
884.0,94.67
882.0,94.21
880.0,94.12
878.0,94.27
876.0,93.94
874.0,93.53
872.0,93.22
870.0,93.06
868.0,92.99
866.0,92.93
864.0,92.74
862.0,92.52
860.0,92.31
858.0,92.33
856.0,92.04
854.0,92.02
852.0,91.86
850.0,91.72
848.0,91.65
846.0,91.58
844.0,91.50
842.0,91.38
840.0,91.37
838.0,91.21
836.0,91.14
834.0,91.18
832.0,91.10
830.0,91.15
828.0,91.14
826.0,91.22
824.0,91.31
822.0,91.51
820.0,91.71
818.0,91.97
816.0,92.23
814.0,92.55
812.0,92.81
810.0,92.92
808.0,93.20
806.0,93.47
804.0,93.64
802.0,93.73
800.0,93.70
798.0,93.56
796.0,93.26
794.0,92.89
792.0,92.46
790.0,92.04
788.0,91.61
786.0,91.13
784.0,90.70
782.0,90.36
780.0,90.03
778.0,89.77
776.0,89.60
774.0,89.46
772.0,89.38
770.0,89.39
768.0,89.47
766.0,89.54
764.0,89.76
762.0,90.13
760.0,90.60
758.0,91.19
756.0,91.88
754.0,92.64
752.0,93.33
750.0,93.86
748.0,94.05
746.0,93.82
744.0,93.14
742.0,92.10
740.0,90.82
738.0,89.45
736.0,88.17
734.0,87.05
732.0,86.14
730.0,85.42
728.0,84.86
726.0,84.40
724.0,83.99
722.0,83.66
720.0,83.38
718.0,83.13
716.0,82.93
714.0,82.76
712.0,82.61
710.0,82.50
708.0,82.45
706.0,82.46
704.0,82.56
702.0,82.84
700.0,83.39
698.0,84.28
696.0,85.39
694.0,86.20
692.0,86.30
690.0,85.69
688.0,84.46
686.0,82.92
684.0,81.65
682.0,80.90
680.0,80.48
678.0,80.20
676.0,80.01
674.0,79.86
672.0,79.73
670.0,79.63
668.0,79.54
666.0,79.43
664.0,79.30
662.0,79.20
660.0,79.12
658.0,79.04
656.0,78.95
654.0,78.87
652.0,78.81
650.0,78.80
648.0,78.84
646.0,78.89
644.0,78.85
642.0,78.75
640.0,78.59
638.0,78.35
636.0,78.12
634.0,77.93
632.0,77.78
630.0,77.67
628.0,77.56
626.0,77.44
624.0,77.28
622.0,77.13
620.0,76.98
618.0,76.81
616.0,76.61
614.0,76.43
612.0,76.25
610.0,76.07
608.0,75.93
606.0,75.80
604.0,75.69
602.0,75.60
600.0,75.55
598.0,75.52
596.0,75.54
594.0,75.60
592.0,75.70
590.0,75.82
588.0,75.95
586.0,76.09
584.0,76.22
582.0,76.34
580.0,76.43
578.0,76.46
576.0,76.45
574.0,76.41
572.0,76.33
570.0,76.18
568.0,76.01
566.0,75.86
564.0,75.72
562.0,75.62
560.0,75.60
558.0,75.65
556.0,75.81
554.0,76.09
552.0,76.50
550.0,76.97
548.0,77.46
546.0,77.90
544.0,78.24
542.0,78.37
540.0,78.20
538.0,77.67
536.0,76.70
534.0,75.28
532.0,73.44
530.0,71.22
528.0,68.69
526.0,65.90
524.0,62.92
522.0,59.93
520.0,57.05
518.0,54.35
516.0,51.93
514.0,49.85
512.0,48.22
510.0,47.11
508.0,46.52
506.0,46.48
504.0,46.97
502.0,47.93
500.0,49.19
498.0,50.60
496.0,51.95
494.0,53.00
492.0,53.59
490.0,53.64
488.0,53.17
486.0,52.28
484.0,51.13
482.0,50.27
480.0,49.42
478.0,48.10
476.0,46.76
474.0,45.90
472.0,45.81
470.0,46.65
468.0,48.50
466.0,51.42
464.0,55.42
462.0,60.14
460.0,65.11
458.0,69.69
456.0,73.27
454.0,75.45
452.0,76.17
450.0,75.70
448.0,74.59
446.0,73.26
444.0,72.61
442.0,72.48
440.0,71.74
438.0,70.00
436.0,67.00
434.0,62.77
432.0,57.78
430.0,52.63
428.0,47.85
426.0,43.98
424.0,41.30
422.0,39.84
420.0,39.19
418.0,38.69
416.0,37.57
414.0,35.35
412.0,32.04
410.0,28.16
408.0,24.39
406.0,21.27
404.0,19.22
402.0,18.38
400.0,18.74
398.0,20.29
396.0,22.92
394.0,26.07
392.0,28.67
390.0,29.76
388.0,29.26
386.0,27.89
384.0,26.75
382.0,26.67
380.0,27.92
378.0,30.61
376.0,33.77
374.0,36.04
372.0,36.01
370.0,33.67
368.0,30.12
366.0,26.22
364.0,22.07
362.0,17.69
360.0,13.43
358.0,9.75
356.0,6.80
354.0,4.54
352.0,2.90
350.0,1.76
348.0,1.03
346.0,0.56
344.0,0.29
342.0,0.14
340.0,0.06
338.0,0.03
336.0,0.02
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
