Created as New Dataset,Using 450 nm short pass #1 Knight EOS filter held by def. (central) (non-coated side) elevated with block from cuvette
nm,%T
900.0,66.06
898.0,62.44
896.0,59.32
894.0,55.68
892.0,52.82
890.0,50.02
888.0,47.38
886.0,44.91
884.0,42.64
882.0,41.00
880.0,38.91
878.0,37.60
876.0,36.25
874.0,35.39
872.0,34.61
870.0,34.06
868.0,33.53
866.0,33.37
864.0,33.46
862.0,33.74
860.0,34.38
858.0,35.13
856.0,36.22
854.0,37.62
852.0,39.39
850.0,41.57
848.0,44.24
846.0,47.31
844.0,50.85
842.0,54.84
840.0,59.15
838.0,63.59
836.0,68.00
834.0,72.02
832.0,75.29
830.0,77.53
828.0,78.40
826.0,77.68
824.0,75.47
822.0,71.91
820.0,67.30
818.0,62.16
816.0,56.94
814.0,51.91
812.0,47.39
810.0,43.55
808.0,40.15
806.0,37.36
804.0,35.18
802.0,33.59
800.0,32.54
798.0,32.08
796.0,32.23
794.0,33.02
792.0,34.56
790.0,36.87
788.0,39.86
786.0,43.38
784.0,47.16
782.0,50.89
780.0,54.14
778.0,55.96
776.0,55.37
774.0,51.71
772.0,45.18
770.0,36.94
768.0,28.54
766.0,21.26
764.0,15.59
762.0,11.45
760.0,8.52
758.0,6.46
756.0,4.99
754.0,3.93
752.0,3.15
750.0,2.57
748.0,2.12
746.0,1.78
744.0,1.52
742.0,1.31
740.0,1.14
738.0,1.01
736.0,0.90
734.0,0.81
732.0,0.74
730.0,0.68
728.0,0.64
726.0,0.60
724.0,0.57
722.0,0.55
720.0,0.54
718.0,0.53
716.0,0.53
714.0,0.53
712.0,0.55
710.0,0.57
708.0,0.61
706.0,0.66
704.0,0.73
702.0,0.82
700.0,0.95
698.0,1.12
696.0,1.34
694.0,1.60
692.0,1.89
690.0,2.17
688.0,2.38
686.0,2.46
684.0,2.36
682.0,2.08
680.0,1.71
678.0,1.33
676.0,1.01
674.0,0.77
672.0,0.59
670.0,0.47
668.0,0.38
666.0,0.32
664.0,0.27
662.0,0.23
660.0,0.21
658.0,0.19
656.0,0.17
654.0,0.16
652.0,0.15
650.0,0.15
648.0,0.15
646.0,0.15
644.0,0.16
642.0,0.16
640.0,0.18
638.0,0.20
636.0,0.24
634.0,0.29
632.0,0.38
630.0,0.50
628.0,0.64
626.0,0.82
624.0,1.07
622.0,1.32
620.0,1.44
618.0,1.34
616.0,1.06
614.0,0.73
612.0,0.48
610.0,0.32
608.0,0.23
606.0,0.17
604.0,0.14
602.0,0.11
600.0,0.09
598.0,0.08
596.0,0.07
594.0,0.07
592.0,0.06
590.0,0.06
588.0,0.06
586.0,0.06
584.0,0.07
582.0,0.07
580.0,0.08
578.0,0.09
576.0,0.10
574.0,0.12
572.0,0.15
570.0,0.20
568.0,0.29
566.0,0.43
564.0,0.65
562.0,0.93
560.0,1.13
558.0,1.11
556.0,0.91
554.0,0.69
552.0,0.51
550.0,0.38
548.0,0.30
546.0,0.26
544.0,0.23
542.0,0.22
540.0,0.22
538.0,0.24
536.0,0.26
534.0,0.31
532.0,0.39
530.0,0.49
528.0,0.61
526.0,0.70
524.0,0.70
522.0,0.61
520.0,0.48
518.0,0.35
516.0,0.26
514.0,0.21
512.0,0.17
510.0,0.16
508.0,0.15
506.0,0.16
504.0,0.17
502.0,0.19
500.0,0.20
498.0,0.22
496.0,0.25
494.0,0.30
492.0,0.38
490.0,0.50
488.0,0.66
486.0,0.76
484.0,0.74
482.0,0.59
480.0,0.43
478.0,0.32
476.0,0.25
474.0,0.21
472.0,0.18
470.0,0.17
468.0,0.18
466.0,0.19
464.0,0.22
462.0,0.26
460.0,0.32
458.0,0.40
456.0,0.52
454.0,0.72
452.0,1.05
450.0,1.64
448.0,2.77
446.0,5.07
444.0,10.12
442.0,20.33
440.0,37.17
438.0,57.14
436.0,73.57
434.0,83.70
432.0,88.78
430.0,90.90
428.0,91.61
426.0,91.72
424.0,91.65
422.0,91.59
420.0,91.53
418.0,91.37
416.0,91.11
414.0,90.81
412.0,90.60
410.0,90.42
408.0,90.13
406.0,89.70
404.0,89.23
402.0,88.87
400.0,88.60
398.0,88.24
396.0,87.61
394.0,86.55
392.0,85.32
390.0,83.98
388.0,82.54
386.0,80.81
384.0,78.64
382.0,75.98
380.0,72.71
378.0,68.35
376.0,63.16
374.0,56.71
372.0,49.71
370.0,43.22
368.0,37.49
366.0,31.41
364.0,24.78
362.0,19.10
360.0,15.33
358.0,12.52
356.0,9.42
354.0,6.27
352.0,3.78
350.0,2.06
348.0,1.00
346.0,0.43
344.0,0.17
342.0,0.07
340.0,0.03
338.0,0.02
336.0,0.01
334.0,0.01
332.0,0.01
330.0,0.01
328.0,0.01
326.0,0.02
324.0,0.02
322.0,0.02
320.0,0.02
318.0,0.00
316.0,0.00
314.0,0.00
312.0,0.00
310.0,0.00
308.0,0.00
306.0,0.00
304.0,0.00
302.0,0.00
300.0,0.00
298.0,0.00
296.0,0.00
294.0,0.00
292.0,0.00
290.0,0.00
288.0,0.00
286.0,0.00
284.0,0.00
282.0,0.00
280.0,0.00
278.0,0.00
276.0,0.00
274.0,0.00
272.0,0.00
270.0,0.00
268.0,0.00
266.0,0.00
264.0,0.00
262.0,0.00
260.0,0.00
258.0,0.00
256.0,0.00
254.0,0.00
252.0,0.00
250.0,0.00
