0,1,2
0,250,0.0
5,250,0.0
10,250,0.0
15,250,0.0
20,250,0.0
25,250,0.0
30,250,0.0
35,250,0.0
40,250,0.0
45,250,0.0
50,250,0.0
55,250,0.0
60,250,0.0
65,250,0.0
70,250,0.0
75,250,0.0
0,252,0.0
5,252,0.0
10,252,0.0
15,252,0.0
20,252,0.0
25,252,0.0
30,252,0.0
35,252,0.0
40,252,0.0
45,252,0.0
50,252,0.0
55,252,0.0
60,252,0.0
65,252,0.0
70,252,0.0
75,252,0.0
0,254,0.0
5,254,0.0
10,254,0.0
15,254,0.0
20,254,0.0
25,254,0.0
30,254,0.0
35,254,0.0
40,254,0.0
45,254,0.0
50,254,0.0
55,254,0.0
60,254,0.0
65,254,0.0
70,254,0.0
75,254,0.0
0,256,0.0
5,256,0.0
10,256,0.0
15,256,0.0
20,256,0.0
25,256,0.0
30,256,0.0
35,256,0.0
40,256,0.0
45,256,0.0
50,256,0.0
55,256,0.0
60,256,0.0
65,256,0.0
70,256,0.0
75,256,0.0
0,258,0.0
5,258,0.0
10,258,0.0
15,258,0.0
20,258,0.0
25,258,0.0
30,258,0.0
35,258,0.0
40,258,0.0
45,258,0.0
50,258,0.0
55,258,0.0
60,258,0.0
65,258,0.0
70,258,0.0
75,258,0.0
0,260,0.0
5,260,0.0
10,260,0.0
15,260,0.0
20,260,0.0
25,260,0.0
30,260,0.0
35,260,0.0
40,260,0.0
45,260,0.0
50,260,0.0
55,260,0.0
60,260,0.0
65,260,0.0
70,260,0.0
75,260,0.0
0,262,0.0
5,262,0.0
10,262,0.0
15,262,0.0
20,262,0.0
25,262,0.0
30,262,0.0
35,262,0.0
40,262,0.0
45,262,0.0
50,262,0.0
55,262,0.0
60,262,0.0
65,262,0.0
70,262,0.0
75,262,0.0
0,264,0.0
5,264,0.0
10,264,0.0
15,264,0.0
20,264,0.0
25,264,0.0
30,264,0.0
35,264,0.0
40,264,0.0
45,264,0.0
50,264,0.0
55,264,0.0
60,264,0.0
65,264,0.0
70,264,0.0
75,264,0.0
0,266,0.0
5,266,0.0
10,266,0.0
15,266,0.0
20,266,0.0
25,266,0.0
30,266,0.0
35,266,0.0
40,266,0.0
45,266,0.0
50,266,0.0
55,266,0.0
60,266,0.0
65,266,0.0
70,266,0.0
75,266,0.0
0,268,0.0
5,268,0.0
10,268,0.0
15,268,0.0
20,268,0.0
25,268,0.0
30,268,0.0
35,268,0.0
40,268,0.0
45,268,0.0
50,268,0.0
55,268,0.0
60,268,0.0
65,268,0.0
70,268,0.0
75,268,0.0
0,270,0.0
5,270,0.0
10,270,0.0
15,270,0.0
20,270,0.0
25,270,0.0
30,270,0.0
35,270,0.0
40,270,0.0
45,270,0.0
50,270,0.0
55,270,0.0
60,270,0.0
65,270,0.0
70,270,0.0
75,270,0.0
0,272,0.0
5,272,0.0
10,272,0.0
15,272,0.0
20,272,0.0
25,272,0.0
30,272,0.0
35,272,0.0
40,272,0.0
45,272,0.0
50,272,0.0
55,272,0.0
60,272,0.0
65,272,0.0
70,272,0.0
75,272,0.0
0,274,0.0
5,274,0.0
10,274,0.0
15,274,0.0
20,274,0.0
25,274,0.0
30,274,0.0
35,274,0.0
40,274,0.0
45,274,0.0
50,274,0.0
55,274,0.0
60,274,0.0
65,274,0.0
70,274,0.0
75,274,0.0
0,276,0.0
5,276,0.0
10,276,0.0
15,276,0.0
20,276,0.0
25,276,0.0
30,276,0.0
35,276,0.0
40,276,0.0
45,276,0.0
50,276,0.0
55,276,0.0
60,276,0.0
65,276,0.0
70,276,0.0
75,276,0.0
0,278,0.0
5,278,0.0
10,278,0.0
15,278,0.0
20,278,0.0
25,278,0.0
30,278,0.0
35,278,0.0
40,278,0.0
45,278,0.0
50,278,0.0
55,278,0.0
60,278,0.0
65,278,0.0
70,278,0.0
75,278,0.0
0,280,0.0
5,280,0.0
10,280,0.0
15,280,0.0
20,280,0.0
25,280,0.0
30,280,0.0
35,280,0.0
40,280,0.0
45,280,0.0
50,280,0.0
55,280,0.0
60,280,0.0
65,280,0.0
70,280,0.0
75,280,0.0
0,282,0.0
5,282,0.0
10,282,0.0
15,282,0.0
20,282,0.0
25,282,0.0
30,282,0.0
35,282,0.0
40,282,0.0
45,282,0.0
50,282,0.0
55,282,0.0
60,282,0.0
65,282,0.0
70,282,0.0
75,282,0.0
0,284,0.0
5,284,0.0
10,284,0.0
15,284,0.0
20,284,0.0
25,284,0.0
30,284,0.0
35,284,0.0
40,284,0.0
45,284,0.0
50,284,0.0
55,284,0.0
60,284,0.0
65,284,0.0
70,284,0.0
75,284,0.0
0,286,0.0
5,286,0.0
10,286,0.0
15,286,0.0
20,286,0.0
25,286,0.0
30,286,0.0
35,286,0.0
40,286,0.0
45,286,0.0
50,286,0.0
55,286,0.0
60,286,0.0
65,286,0.0
70,286,0.0
75,286,0.0
0,288,0.0
5,288,0.0
10,288,0.0
15,288,0.0
20,288,0.0
25,288,0.0
30,288,0.0
35,288,0.0
40,288,0.0
45,288,0.0
50,288,0.0
55,288,0.0
60,288,0.0
65,288,0.0
70,288,0.0
75,288,0.0
0,290,0.0
5,290,0.0
10,290,0.0
15,290,0.0
20,290,0.0
25,290,0.0
30,290,0.0
35,290,0.0
40,290,0.0
45,290,0.0
50,290,0.0
55,290,0.0
60,290,0.0
65,290,0.0
70,290,0.0
75,290,0.0
0,292,0.0
5,292,0.0
10,292,0.0
15,292,0.0
20,292,0.0
25,292,0.0
30,292,0.0
35,292,0.0
40,292,0.0
45,292,0.0
50,292,0.0
55,292,0.0
60,292,0.0
65,292,0.0
70,292,0.0
75,292,0.0
0,294,0.0
5,294,0.0
10,294,0.0
15,294,0.0
20,294,0.0
25,294,0.0
30,294,0.0
35,294,0.0
40,294,0.0
45,294,0.0
50,294,0.0
55,294,0.0
60,294,0.0
65,294,0.0
70,294,0.0
75,294,0.0
0,296,0.0
5,296,0.0
10,296,0.0
15,296,0.0
20,296,0.0
25,296,0.0
30,296,0.0
35,296,0.0
40,296,0.0
45,296,0.0
50,296,0.0
55,296,0.0
60,296,0.0
65,296,0.0
70,296,0.0
75,296,0.0
0,298,0.0
5,298,0.0
10,298,0.0
15,298,0.0
20,298,0.0
25,298,0.0
30,298,0.0
35,298,0.0
40,298,0.0
45,298,0.0
50,298,0.0
55,298,0.0
60,298,0.0
65,298,0.0
70,298,0.0
75,298,0.0
0,300,0.0
5,300,0.0
10,300,0.0
15,300,0.0
20,300,0.0
25,300,0.0
30,300,0.0
35,300,0.0
40,300,0.0
45,300,0.0
50,300,0.0
55,300,0.0
60,300,0.0
65,300,0.0
70,300,0.0
75,300,0.0
0,302,0.0
5,302,0.0
10,302,0.0
15,302,0.0
20,302,0.0
25,302,0.0
30,302,0.0
35,302,0.0
40,302,0.0
45,302,0.0
50,302,0.0
55,302,0.0
60,302,0.0
65,302,0.0
70,302,0.0
75,302,0.0
0,304,0.0
5,304,0.0
10,304,0.0
15,304,0.0
20,304,0.0
25,304,0.0
30,304,0.0
35,304,0.0
40,304,0.0
45,304,0.0
50,304,0.0
55,304,0.0
60,304,0.0
65,304,0.0
70,304,0.0
75,304,0.0
0,306,0.0
5,306,0.0
10,306,0.0
15,306,0.0
20,306,0.0
25,306,0.0
30,306,0.0
35,306,0.0
40,306,0.0
45,306,0.0
50,306,0.0
55,306,0.0
60,306,0.0
65,306,0.0
70,306,0.0
75,306,0.0
0,308,0.0
5,308,0.0
10,308,0.0
15,308,0.0
20,308,0.0
25,308,0.0
30,308,0.0
35,308,0.0
40,308,0.0
45,308,0.0
50,308,0.0
55,308,0.0
60,308,0.0
65,308,0.0
70,308,0.0
75,308,0.0
0,310,0.0
5,310,0.0
10,310,0.0
15,310,0.0
20,310,0.0
25,310,0.0
30,310,0.0
35,310,0.0
40,310,0.0
45,310,0.0
50,310,0.0
55,310,0.0
60,310,0.0
65,310,0.0
70,310,0.0
75,310,0.0
0,312,0.0
5,312,0.0
10,312,0.0
15,312,0.0
20,312,0.0
25,312,0.0
30,312,0.0
35,312,0.0
40,312,0.0
45,312,0.0
50,312,0.0
55,312,0.0
60,312,0.0
65,312,0.0
70,312,0.0
75,312,0.0
0,314,0.0
5,314,0.0
10,314,0.0
15,314,0.0
20,314,0.0
25,314,0.0
30,314,0.0
35,314,0.0
40,314,0.0
45,314,0.0
50,314,0.0
55,314,0.0
60,314,0.0
65,314,0.0
70,314,0.0
75,314,0.0
0,316,0.0
5,316,0.0
10,316,0.0
15,316,0.0
20,316,0.0
25,316,0.0
30,316,0.0
35,316,0.0
40,316,0.0
45,316,0.0
50,316,0.0
55,316,0.0
60,316,0.0
65,316,0.0
70,316,0.0
75,316,0.0
0,318,0.0001
5,318,0.0001
10,318,0.0001
15,318,0.0001
20,318,0.0001
25,318,0.0001
30,318,0.0001
35,318,0.0001
40,318,0.0
45,318,0.0
50,318,0.0
55,318,0.0
60,318,0.0
65,318,0.0
70,318,0.0
75,318,0.0
0,320,0.0002
5,320,0.0002
10,320,0.0002
15,320,0.0002
20,320,0.0002
25,320,0.0002
30,320,0.0002
35,320,0.0002
40,320,0.0002
45,320,0.0002
50,320,0.0002
55,320,0.0002
60,320,0.0001
65,320,0.0001
70,320,0.0001
75,320,0.0001
0,322,0.0002
5,322,0.0002
10,322,0.0002
15,322,0.0002
20,322,0.0002
25,322,0.0002
30,322,0.0002
35,322,0.0002
40,322,0.0002
45,322,0.0002
50,322,0.0002
55,322,0.0002
60,322,0.0002
65,322,0.0001
70,322,0.0002
75,322,0.0001
0,324,0.0002
5,324,0.0002
10,324,0.0002
15,324,0.0002
20,324,0.0002
25,324,0.0002
30,324,0.0002
35,324,0.0002
40,324,0.0001
45,324,0.0002
50,324,0.0001
55,324,0.0002
60,324,0.0001
65,324,0.0001
70,324,0.0001
75,324,0.0001
0,326,0.0002
5,326,0.0002
10,326,0.0002
15,326,0.0002
20,326,0.0002
25,326,0.0002
30,326,0.0002
35,326,0.0002
40,326,0.0001
45,326,0.0002
50,326,0.0001
55,326,0.0001
60,326,0.0001
65,326,0.0001
70,326,0.0001
75,326,0.0001
0,328,0.0001
5,328,0.0001
10,328,0.0001
15,328,0.0001
20,328,0.0001
25,328,0.0001
30,328,0.0001
35,328,0.0001
40,328,0.0001
45,328,0.0001
50,328,0.0001
55,328,0.0001
60,328,0.0001
65,328,0.0001
70,328,0.0001
75,328,0.0001
0,330,0.0001
5,330,0.0001
10,330,0.0001
15,330,0.0001
20,330,0.0001
25,330,0.0001
30,330,0.0001
35,330,0.0001
40,330,0.0001
45,330,0.0001
50,330,0.0001
55,330,0.0001
60,330,0.0001
65,330,0.0001
70,330,0.0001
75,330,0.0001
0,332,0.0001
5,332,0.0001
10,332,0.0001
15,332,0.0001
20,332,0.0001
25,332,0.0001
30,332,0.0001
35,332,0.0001
40,332,0.0001
45,332,0.0001
50,332,0.0001
55,332,0.0001
60,332,0.0001
65,332,0.0001
70,332,0.0001
75,332,0.0001
0,334,0.0001
5,334,0.0001
10,334,0.0001
15,334,0.0001
20,334,0.0001
25,334,0.0001
30,334,0.0001
35,334,0.0001
40,334,0.0001
45,334,0.0001
50,334,0.0001
55,334,0.0001
60,334,0.0001
65,334,0.0001
70,334,0.0001
75,334,0.0001
0,336,0.0001
5,336,0.0001
10,336,0.0001
15,336,0.0001
20,336,0.0001
25,336,0.0001
30,336,0.0001
35,336,0.0001
40,336,0.0001
45,336,0.0001
50,336,0.0001
55,336,0.0001
60,336,0.0001
65,336,0.0001
70,336,0.0001
75,336,0.0001
0,338,0.0001
5,338,0.0001
10,338,0.0001
15,338,0.0001
20,338,0.0001
25,338,0.0001
30,338,0.0001
35,338,0.0001
40,338,0.0001
45,338,0.0001
50,338,0.0001
55,338,0.0001
60,338,0.0001
65,338,0.0001
70,338,0.0001
75,338,0.0001
0,340,0.0001
5,340,0.0001
10,340,0.0001
15,340,0.0001
20,340,0.0001
25,340,0.0001
30,340,0.0001
35,340,0.0001
40,340,0.0001
45,340,0.0001
50,340,0.0001
55,340,0.0001
60,340,0.0001
65,340,0.0001
70,340,0.0001
75,340,0.0001
0,342,0.0001
5,342,0.0001
10,342,0.0001
15,342,0.0001
20,342,0.0001
25,342,0.0001
30,342,0.0001
35,342,0.0001
40,342,0.0001
45,342,0.0001
50,342,0.0001
55,342,0.0001
60,342,0.0001
65,342,0.0001
70,342,0.0001
75,342,0.0001
0,344,0.0001
5,344,0.0001
10,344,0.0001
15,344,0.0001
20,344,0.0001
25,344,0.0001
30,344,0.0001
35,344,0.0001
40,344,0.0001
45,344,0.0001
50,344,0.0001
55,344,0.0001
60,344,0.0001
65,344,0.0001
70,344,0.0001
75,344,0.0001
0,346,0.0001
5,346,0.0001
10,346,0.0001
15,346,0.0001
20,346,0.0001
25,346,0.0001
30,346,0.0001
35,346,0.0001
40,346,0.0001
45,346,0.0001
50,346,0.0001
55,346,0.0001
60,346,0.0001
65,346,0.0001
70,346,0.0001
75,346,0.0001
0,348,0.0001
5,348,0.0001
10,348,0.0001
15,348,0.0001
