0,1,2
0,250,0.0
15,250,0.0
25,250,0.0
35,250,0.0
45,250,0.0
55,250,0.0
65,250,0.0
70,250,0.0
0,252,0.0
15,252,0.0
25,252,0.0
35,252,0.0
45,252,0.0
55,252,0.0
65,252,0.0
70,252,0.0
0,254,0.0
15,254,0.0
25,254,0.0
35,254,0.0
45,254,0.0
55,254,0.0
65,254,0.0
70,254,0.0
0,256,0.0
15,256,0.0
25,256,0.0
35,256,0.0
45,256,0.0
55,256,0.0
65,256,0.0
70,256,0.0
0,258,0.0
15,258,0.0
25,258,0.0
35,258,0.0
45,258,0.0
55,258,0.0
65,258,0.0
70,258,0.0
0,260,0.0
15,260,0.0
25,260,0.0
35,260,0.0
45,260,0.0
55,260,0.0
65,260,0.0
70,260,0.0
0,262,0.0
15,262,0.0
25,262,0.0
35,262,0.0
45,262,0.0
55,262,0.0
65,262,0.0
70,262,0.0
0,264,0.0
15,264,0.0
25,264,0.0
35,264,0.0
45,264,0.0
55,264,0.0
65,264,0.0
70,264,0.0
0,266,0.0
15,266,0.0
25,266,0.0
35,266,0.0
45,266,0.0
55,266,0.0
65,266,0.0
70,266,0.0
0,268,0.0
15,268,0.0
25,268,0.0
35,268,0.0
45,268,0.0
55,268,0.0
65,268,0.0
70,268,0.0
0,270,0.0
15,270,0.0
25,270,0.0
35,270,0.0
45,270,0.0
55,270,0.0
65,270,0.0
70,270,0.0
0,272,0.0
15,272,0.0
25,272,0.0
35,272,0.0
45,272,0.0
55,272,0.0
65,272,0.0
70,272,0.0
0,274,0.0
15,274,0.0
25,274,0.0
35,274,0.0
45,274,0.0
55,274,0.0
65,274,0.0
70,274,0.0
0,276,0.0
15,276,0.0
25,276,0.0
35,276,0.0
45,276,0.0
55,276,0.0
65,276,0.0
70,276,0.0
0,278,0.0
15,278,0.0
25,278,0.0
35,278,0.0001
45,278,0.0002
55,278,0.0
65,278,0.0
70,278,0.0003
0,280,0.0001
15,280,0.0003
25,280,0.0007000000000000001
35,280,0.0005
45,280,0.001
55,280,0.0007000000000000001
65,280,0.0013
70,280,0.0021
0,282,0.0016
15,282,0.0025
25,282,0.0032
35,282,0.0015
45,282,0.0031
55,282,0.0021
65,282,0.0058
70,282,0.0076
0,284,0.006999999999999999
15,284,0.0070999999999999995
25,284,0.0083
35,284,0.0027
45,284,0.0079
55,284,0.005600000000000001
65,284,0.0179
70,284,0.0204
0,286,0.0159
15,286,0.0177
25,286,0.013300000000000001
35,286,0.004
45,286,0.0149
55,286,0.0128
65,286,0.0434
70,286,0.0453
0,288,0.0326
15,288,0.0381
25,288,0.0161
35,288,0.0108
45,288,0.019799999999999998
55,288,0.029500000000000002
65,288,0.08380000000000001
70,288,0.08839999999999999
0,290,0.049400000000000006
15,290,0.0608
25,290,0.0177
35,290,0.0167
45,290,0.0297
55,290,0.0731
65,290,0.1373
70,290,0.1484
0,292,0.0904
15,292,0.0571
25,292,0.0346
35,292,0.0187
45,292,0.0537
55,292,0.1588
65,292,0.2101
70,292,0.2237
0,294,0.132
15,294,0.0668
25,294,0.0207
35,294,0.05
45,294,0.09300000000000001
55,294,0.2605
65,294,0.30329999999999996
70,294,0.3061
0,296,0.1108
15,296,0.0379
25,296,0.0077
35,296,0.0756
45,296,0.13720000000000002
55,296,0.3503
65,296,0.40270000000000006
70,296,0.3859
0,298,0.0487
15,298,0.1058
25,298,0.0364
35,298,0.0499
45,298,0.1978
55,298,0.43700000000000006
65,298,0.4863
70,298,0.4706
0,300,0.0645
15,300,0.0545
25,300,0.0366
35,300,0.031
45,300,0.2966
55,300,0.5211
65,300,0.5437
70,300,0.5656
0,302,0.2192
15,302,0.009000000000000001
25,302,0.011200000000000002
35,302,0.051500000000000004
45,302,0.39289999999999997
55,302,0.5710999999999999
65,302,0.5882000000000001
70,302,0.6626000000000001
0,304,0.0437
15,304,0.0184
25,304,0.012199999999999999
35,304,0.1294
45,304,0.4882
55,304,0.6127
65,304,0.6578
70,304,0.7119
0,306,0.0037
15,306,0.053099999999999994
25,306,0.0611
35,306,0.26030000000000003
45,306,0.5917
55,306,0.6793
65,306,0.7444
70,306,0.7254
0,308,0.0229
15,308,0.0171
25,308,0.051399999999999994
35,308,0.4294
45,308,0.7179000000000001
55,308,0.7744
65,308,0.8133
70,308,0.7437999999999999
0,310,0.0319
15,310,0.0033
25,310,0.0173
35,310,0.5882000000000001
45,310,0.8169
55,310,0.8548
65,310,0.8367
70,310,0.7855
0,312,0.009399999999999999
15,312,0.0068000000000000005
25,312,0.005699999999999999
35,312,0.7141
45,312,0.8576
55,312,0.871
65,312,0.8231
70,312,0.8036
0,314,0.0022
15,314,0.0285
25,314,0.0207
35,314,0.7998000000000001
45,314,0.8429000000000001
55,314,0.8314
65,314,0.8273
70,314,0.8131
0,316,0.0042
15,316,0.015600000000000001
25,316,0.0547
35,316,0.8406
45,316,0.8189
55,316,0.8001999999999999
65,316,0.8332999999999999
70,316,0.8216
0,318,0.0203
15,318,0.0074
25,318,0.11470000000000001
35,318,0.8687
45,318,0.8297
55,318,0.8029999999999999
65,318,0.8603000000000001
70,318,0.8271999999999999
0,320,0.009000000000000001
15,320,0.0031
25,320,0.2944
35,320,0.8855
45,320,0.8334
55,320,0.8391
65,320,0.8983
70,320,0.8167
0,322,0.0063
15,322,0.0039000000000000003
25,322,0.5013000000000001
35,322,0.9073
45,322,0.8513
55,322,0.9052
65,322,0.9059
70,322,0.8181
0,324,0.0027
15,324,0.0282
25,324,0.7101000000000001
35,324,0.9255
45,324,0.8815999999999999
55,324,0.9518000000000001
65,324,0.9045000000000001
70,324,0.8031999999999999
0,326,0.0024
15,326,0.062400000000000004
25,326,0.8522
35,326,0.9339
45,326,0.904
55,326,0.9544
65,326,0.9193000000000001
70,326,0.7829
0,328,0.009300000000000001
15,328,0.084
25,328,0.883
35,328,0.9347
45,328,0.9215000000000001
55,328,0.9431999999999999
65,328,0.9227
70,328,0.7812
0,330,0.0745
15,330,0.1739
25,330,0.9179999999999999
35,330,0.9308
45,330,0.9223
55,330,0.9278
65,330,0.9081999999999999
70,330,0.7807999999999999
0,332,0.0558
15,332,0.2651
25,332,0.9643999999999999
35,332,0.9189
45,332,0.9129999999999999
55,332,0.9075
65,332,0.8902
70,332,0.782
0,334,0.1033
15,334,0.6117
25,334,0.9627
35,334,0.922
45,334,0.8924
55,334,0.9081999999999999
65,334,0.8744
70,334,0.7795000000000001
0,336,0.1225
15,336,0.7892
25,336,0.9669
35,336,0.9264
45,336,0.87
55,336,0.9294
65,336,0.8541
70,336,0.7786
0,338,0.23120000000000002
15,338,0.6647
25,338,0.97
35,338,0.9319
45,338,0.871
55,338,0.9448000000000001
65,338,0.8411
70,338,0.7777
0,340,0.8822
15,340,0.8181
25,340,0.9647
35,340,0.9418000000000001
45,340,0.8859999999999999
55,340,0.9681000000000001
65,340,0.8283
70,340,0.7785
0,342,0.6107
15,342,0.9368000000000001
25,342,0.9709
35,342,0.9451999999999999
45,342,0.9062
55,342,0.9858
65,342,0.8183
70,342,0.7763
0,344,0.5857
15,344,0.8736
25,344,0.9823000000000001
35,344,0.9529000000000001
45,344,0.9323
55,344,0.987
65,344,0.8176000000000001
70,344,0.7731999999999999
0,346,0.8885
15,346,0.9292
25,346,0.9873999999999999
35,346,0.9525
45,346,0.9459000000000001
55,346,0.9841
65,346,0.8147
70,346,0.7746999999999999
0,348,0.8537
15,348,0.9684
25,348,0.9926
35,348,0.9420999999999999
45,348,0.9426000000000001
55,348,0.9871
65,348,0.8035
70,348,0.7702
0,350,0.8099
15,350,0.9057999999999999
25,350,0.997
35,350,0.9403
45,350,0.9336
55,350,0.9797
65,350,0.7914
70,350,0.7703
0,352,0.9676
15,352,0.9315000000000001
25,352,1.0007
35,352,0.9401999999999999
45,352,0.9214
55,352,0.9772
65,352,0.7902
70,352,0.7676999999999999
