AOI,trans,refl,trans_redo,refl_redo
0,66.6956358789142,0.435267266884786,,
5,67.2596940292541,0.599922287894657,,
10,64.93848881356,23.7625010248265,,
15,61.0701148330755,33.1425177613161,,
20,53.9490945175937,42.5242875394386,,
25,43.2429581779778,51.4112398489938,,
30,26.1144607129629,69.0128273785485,,
35,12.3917022864227,87.3024552264797,,
40,6.40082442565574,81.6487245959078,6.8801869105854,89.7823045269801
45,5.34614717547558,88.0547481840318,,
50,5.57150696867466,85.1495050264892,,
55,6.02967874801278,88.8370847748698,,
60,8.06748978353474,87.593791610299,,
65,10.5760245813817,84.6867884912956,,
70,11.2482671184206,79.0622269420431,,
