AOI,trans,refl,trans_redo,refl_redo
0,83.01313917648,0.224275149037412,,
5,83.1785854033601,0.337872139631183,,
10,82.4878598096718,10.3505642739378,,
15,81.2246254766677,12.0407602160208,,
20,79.1484503698595,14.424697653107,,
25,75.2890980750944,19.6415340786166,,
30,65.2749772641625,27.0978665516034,,
35,46.3657166829268,72.8507606800047,45.6163697809251,42.3281991731013
40,20.6552590185792,58.9013476404304,,
45,8.08055610158864,66.5027655674262,,
50,5.85231530190859,73.9502006954138,,
55,7.50790595241433,71.6430260905044,,
60,9.67179827506899,71.0781675753962,,
65,12.9391927928226,72.152090343843,,
70,17.3345129469548,69.2981497031775,,
